date,dt,new_highs,new_lows,nhnl
20260320,2026-03-20,240,94,146
20260327,2026-03-27,229,106,123
20260403,2026-04-03,151,215,-64
20260410,2026-04-10,193,168,25
20260417,2026-04-17,449,7,442
20260424,2026-04-24,366,18,348
